Image	Model1	Model2	Model3	Model4	MajorityVoting	WeightedVoting
2622.jpg	30.68	27.59	24.35	24.31	28.21	26.94
2623.jpg	90.06	84.27	70.77	59.29	86.89	90.06
2624.jpg	86.62	81.00	79.70	78.66	82.26	87.16
2625.jpg	74.54	59.50	60.75	55.32	63.30	74.99
2626.jpg	74.39	43.50	45.86	45.22	48.16	75.79
2627.jpg	53.57	54.14	53.88	53.53	54.50	54.12
2628.jpg	56.11	55.03	56.64	39.93	57.91	56.55
2629.jpg	77.16	76.35	75.69	61.23	77.09	77.29
263.jpg	38.02	33.10	35.11	24.98	35.90	38.37
2630.jpg	68.31	50.46	69.78	44.17	69.75	71.41
2631.jpg	53.47	22.81	45.67	33.36	52.77	53.79
2632.jpg	82.62	67.37	71.51	69.40	76.30	80.44
2633.jpg	60.69	30.11	50.10	21.25	51.01	64.31
2634.jpg	66.76	52.84	61.12	43.77	63.04	67.18
2635.jpg	53.42	48.51	42.55	33.30	49.42	53.46
2636.jpg	66.89	57.38	57.00	57.59	60.27	67.78
2637.jpg	71.56	44.01	38.21	29.17	45.58	71.56
2638.jpg	53.18	51.78	47.58	25.08	51.89	52.95
2639.jpg	53.94	52.64	54.16	51.88	55.30	54.48
264.jpg	47.24	30.63	30.00	30.08	39.72	46.38
2640.jpg	85.46	84.33	69.69	51.07	86.23	85.61
2641.jpg	77.06	60.12	35.89	36.00	59.88	75.53
2642.jpg	48.11	46.17	48.15	49.94	49.23	49.39
2643.jpg	64.73	30.76	33.07	29.32	50.42	66.48
2644.jpg	64.54	46.80	45.58	41.95	49.42	63.48
2645.jpg	64.90	63.39	76.83	56.88	69.81	68.56
2646.jpg	93.54	58.78	58.13	58.25	81.24	93.72
2647.jpg	68.10	43.30	43.23	35.30	49.60	65.07
2648.jpg	77.72	48.72	72.99	44.46	80.45	78.40
2649.jpg	64.52	49.75	57.46	45.89	57.74	64.69
265.jpg	37.32	19.97	29.27	11.97	29.53	37.93
2650.jpg	60.17	55.20	56.74	45.41	59.13	60.55
2651.jpg	31.30	27.69	28.02	22.79	32.63	35.53
2652.jpg	73.74	64.02	69.02	65.11	73.03	73.97
2653.jpg	83.75	81.97	81.88	82.11	82.28	83.16
2654.jpg	65.90	43.71	46.26	36.81	49.75	64.77
2655.jpg	78.94	50.00	65.80	53.31	65.28	80.03
2656.jpg	86.42	62.46	65.87	61.11	71.61	87.14
2657.jpg	52.66	36.64	37.90	28.06	40.45	53.63
2658.jpg	61.07	63.81	62.10	64.18	65.28	64.55
2659.jpg	85.44	53.56	79.11	40.94	81.21	85.60
266.jpg	22.34	29.22	25.04	16.75	32.71	24.55
2660.jpg	85.31	56.20	65.70	42.12	73.96	85.54
