Image	Model1	Model2	Model3	Model4	MajorityVoting	WeightedVoting
3691.jpg	81.34	63.55	64.14	66.37	68.45	80.77
3692.jpg	60.96	40.97	36.57	35.95	39.57	60.14
3694.jpg	88.89	55.19	60.47	32.57	80.48	89.02
3693.jpg	66.34	56.36	64.30	60.65	63.89	66.27
3695.jpg	79.42	72.61	63.97	60.85	71.08	79.15
3696.jpg	77.92	39.72	52.02	48.14	53.75	74.44
3697.jpg	92.20	67.42	91.59	88.13	91.90	92.26
3698.jpg	82.13	77.26	75.15	77.29	78.25	82.20
3699.jpg	76.89	50.92	60.79	41.76	68.22	75.00
37.jpg	83.89	75.38	58.61	47.24	77.12	84.06
3700.jpg	59.52	51.27	56.46	31.42	58.30	58.99
370.jpg	66.51	42.73	32.47	32.50	40.79	65.12
3701.jpg	30.09	30.95	27.67	24.71	30.90	30.45
3702.jpg	63.45	46.52	43.42	37.11	50.36	63.42
3703.jpg	88.94	59.61	77.29	50.02	77.50	88.79
3704.jpg	91.83	76.79	66.96	64.33	87.60	92.00
3705.jpg	75.43	83.08	77.21	71.24	81.17	78.49
3706.jpg	80.19	70.64	78.42	73.67	74.84	78.73
3708.jpg	87.85	48.19	65.18	36.34	66.78	87.36
3707.jpg	84.36	71.13	65.71	54.45	74.66	84.43
371.jpg	97.85	86.39	93.46	78.43	97.47	98.08
3709.jpg	77.75	79.92	79.62	72.18	80.14	77.83
3710.jpg	80.94	74.42	76.64	70.63	77.57	80.91
3711.jpg	87.64	48.71	55.65	33.75	57.95	87.53
3712.jpg	63.96	53.85	58.83	49.68	60.57	63.28
3713.jpg	55.91	32.99	55.64	28.90	48.45	55.57
3714.jpg	55.78	43.03	42.38	40.32	48.95	54.86
3716.jpg	88.90	59.68	59.46	51.13	62.57	88.75
3715.jpg	82.92	35.65	68.88	51.69	72.65	84.96
3717.jpg	60.55	46.63	58.02	41.23	55.82	60.58
3718.jpg	38.86	33.19	32.23	23.51	32.78	39.46
3719.jpg	38.34	47.73	32.55	19.28	49.34	38.42
372.jpg	46.22	30.45	39.86	39.00	41.01	43.08
3720.jpg	92.63	81.45	80.99	58.35	85.59	96.30
3721.jpg	43.84	28.31	41.66	42.69	52.44	45.62
3722.jpg	89.03	29.30	44.91	38.94	44.87	87.21
